PC Name,Caste,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Ahmadnagar,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1517951,787153,0.519,46731,0.059,2009
Ahmedabad East,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1411761,597395,0.423,86056,0.144,2009
Akola,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1480606,740014,0.5,64848,0.088,2009
Amreli,GEN,Gujarat,Kachhadia Naranbhai,Bharatiya Janta Party,1312733,524642,0.4,37317,0.071,2009
Amritsar,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,1241099,814503,0.656,6858,0.008,2009
Andaman & Nicobar Islands,GEN,Andaman & Nicobar Islands,Shri. Bishnu Pada Ray,Bharatiya Janta Party,265108,170107,0.642,2990,0.018,2009
Aonla,GEN,Uttar Pradesh,Menka Gandhi,Bharatiya Janta Party,1310878,704611,0.538,7681,0.011,2009
Araria,GEN,Bihar,Pradeep Kumar Singh,Bharatiya Janta Party,1311225,730459,0.557,22502,0.031,2009
Azamgarh,GEN,Uttar Pradesh,Ramakant Yadav,Bharatiya Janta Party,1578854,705508,0.447,49039,0.07,2009
Bagalkot,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1363359,859976,0.631,35446,0.041,2009
Balaghat,GEN,Madhya Pradesh,K. D. Deshmukh,Bharatiya Janta Party,1339239,756832,0.565,40819,0.054,2009
Bangalore Central,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,1901346,847135,0.446,35218,0.042,2009
Bangalore North,GEN,Karnataka,D. B. Chandre Gowda,Bharatiya Janta Party,2144091,1001678,0.467,59665,0.06,2009
Bangalore South,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,2031030,908751,0.447,37612,0.041,2009
Beed,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,1637239,1074052,0.656,140952,0.131,2009
Belgaum,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1378238,754295,0.547,118687,0.157,2009
Bhagalpur,GEN,Bihar,Syed Shahnawaz Hussain,Bharatiya Janta Party,1433346,629032,0.439,55811,0.089,2009
Bharuch,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1311539,749381,0.571,27232,0.036,2009
